IDIV - Carteira do Dia 01/12/22;;;
Código;Ação;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;81921924;0,33
AURE3;AUREN;366760632;1,04
B3SA3;B3;1701800693;4,442
BRSR6;BANRISUL;245994895;0,503
BBSE3;BBSEGURIDADE;815808576;5,239
BBDC3;BRADESCO;974816212;2,751
BBDC4;BRADESCO;779244930;2,49
BRAP3;BRADESPAR;36824572;0,198
BRAP4;BRADESPAR;304888670;1,769
BBAS3;BRASIL;471838787;3,413
AGRO3;BRASILAGRO;62880389;0,349
CMIG3;CEMIG;438180142;1,624
CMIG4;CEMIG;1751536846;4,123
CSMG3;COPASA;228879982;0,742
CPLE3;COPEL;388389712;0,598
CPLE6;COPEL;1898824101;3,146
CPFE3;CPFL ENERGIA;228015180;1,632
CMIN3;CSNMINERACAO;1348846593;1,07
CYRE3;CYRELA REALT;332966287;0,98
DIRR3;DIRECIONAL;99281115;0,302
ELET3;ELETROBRAS;333417578;3,248
ELET6;ELETROBRAS;340009717;3,422
ENAT3;ENAUTA PART;93930520;0,258
ENBR3;ENERGIAS BR;298819593;1,3
EGIE3;ENGIE BRASIL;309969725;2,511
FESA4;FERBASA;49184321;0,57
GGBR4;GERDAU;721859242;4,673
GOAU4;GERDAU MET;833292429;2,339
GRND3;GRENDENE;323978836;0,44
MYPK3;IOCHP-MAXION;159037126;0,431
ITSA4;ITAUSA;1940350693;3,525
JBSS3;JBS;688273919;3,112
JHSF3;JHSF PART;363181295;0,413
BEEF3;MINERVA;316287030;0,811
MRVE3;MRV;362473958;0,638
PETR3;PETROBRAS;649498686;4,047
PETR4;PETROBRAS;735206834;4,019
PSSA3;PORTO SEGURO;218331654;1,084
RAPT4;RANDON PART;215881126;0,413
ROMI3;ROMI;49788519;0,144
SANB11;SANTANDER BR;431954785;2,45
CSNA3;SID NACIONAL;716228806;2,133
SYNE3;SYN PROP TEC;71577596;0,065
TAEE11;TAESA;265467434;1,88
TGMA3;TEGMA;38868186;0,161
VIVT3;TELEF BRASIL;521605823;4,07
TRPL4;TRAN PAULIST;480721526;2,273
UNIP6;UNIPAR;59807244;1,192
USIM3;USIMINAS;195572877;0,31
USIM5;USIMINAS;625523627;1,003
VALE3;VALE;578904146;10,174
WIZS3;WIZ S.A.;91427383;0,15
Quantidade Teórica Total;;25638132472;100
Redutor;;67069065,6583953;
